Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2014-12-24,96.4,97.35,96.085,96.29,1220605.0,0.0,1.0,45.17697566515874,45.622184450240695,45.02935380484209,45.12542517425452,2441210.0
2014-12-23,96.0,96.51,95.59,95.97,2626223.0,0.0,1.0,44.989519334597915,45.22852615606297,44.79737659577307,44.97546010980585,5252446.0
2014-12-22,95.13,95.93,95.02,95.93,3831094.0,0.0,1.0,44.58180181562812,44.956714476749774,44.53025132472389,44.956714476749774,7662188.0
2014-12-19,95.5,96.28,92.83,94.84,13500984.0,0.0,1.0,44.75519892139688,45.120738765990495,43.50392791490338,44.445895975971524,27001968.0
2014-12-18,96.27,97.08,95.06,97.08,9455387.0,0.0,1.0,45.11605235772647,45.49565142711214,44.54899695777998,45.49565142711214,18910774.0
2014-12-17,93.73,94.76,92.9,94.5,5602560.0,0.0,1.0,43.92570465866524,44.40840470985936,43.53673277275153,44.286558094994824,11205120.0
2014-12-16,95.35,95.42,92.97,93.21,7306392.0,0.0,1.0,44.68490279743657,44.71770765528472,43.56953763059967,43.68201142893616,14612784.0
2014-12-15,96.43,96.93,94.78,95.43,5076347.0,0.0,1.0,45.19103488995081,45.42535530315183,44.417777526387404,44.72239406354874,10152694.0
2014-12-12,96.65,97.89,96.17,96.17,4131492.0,0.0,1.0,45.29413587175926,45.87525049649781,45.06918827508627,45.06918827508627,8262984.0
2014-12-11,97.48,98.6,96.84,96.93,4361722.0,0.28,1.0,45.68310775767297,46.20798548324327,45.38317762877565,45.42535530315183,8723444.0
2014-12-10,96.48,98.24,96.46,97.66,3228598.0,0.0,1.0,45.084232894229906,45.90666500341154,45.07488707480738,45.6356362401585,6457196.0
2014-12-09,97.06,97.4,95.98,97.03,2994696.0,0.0,1.0,45.35526165748294,45.514140587665764,44.85058740866694,45.34124292834917,5989392.0
2014-12-08,99.05,99.05,97.3,97.72,2578974.0,0.0,1.0,46.28517069002355,46.28517069002355,45.46741149055317,45.66367369842606,5157948.0
2014-12-05,99.26,99.5,98.83,99.33,1704122.0,0.0,1.0,46.383301793959994,46.495451627030214,46.18236667637584,46.41601216193881,3408244.0
2014-12-04,98.5,99.39,98.06,99.05,2064095.0,0.0,1.0,46.02816065590429,46.444049620206364,45.822552628608875,46.28517069002355,4128190.0
2014-12-03,98.16,98.6,97.52,98.5,1896350.0,0.0,1.0,45.869281725721464,46.074889753016876,45.57021550420087,46.02816065590429,3792700.0
2014-12-02,98.06,98.72,97.69,98.04,2191963.0,0.0,1.0,45.822552628608875,46.130964669551986,45.64965496929228,45.81320680918636,4383926.0
2014-12-01,98.66,99.39,97.66,97.69,2569551.0,0.0,1.0,46.10292721128443,46.444049620206364,45.6356362401585,45.64965496929228,5139102.0
2014-11-28,98.34,99.76,98.23,99.29,1804745.0,0.0,1.0,45.953394100524136,46.61694727952296,45.90199209370029,46.397320523093775,3609490.0
2014-11-26,97.3,97.88,97.1,97.8,1974379.0,0.0,1.0,45.46741149055317,45.7384402538062,45.373953296327976,45.70105697611613,3948758.0
2014-11-25,98.3,98.5,97.27,97.29,3088560.0,0.0,1.0,45.934702461679095,46.02816065590429,45.45339276141939,45.46273858084191,6177120.0
2014-11-24,97.79,98.5,97.74,97.95,2540661.0,0.0,1.0,45.696384066404875,46.02816065590429,45.67301951784857,45.771150621785026,5081322.0
2014-11-21,98.69,98.96,96.66,97.42,3508239.0,0.0,1.0,46.11694594041821,46.24311450262221,45.16834526903257,45.52348640708828,7016478.0
2014-11-20,96.62,97.7,96.31,97.3,2411175.0,0.0,1.0,45.14965363018754,45.65432787900354,45.004793429138495,45.46741149055317,4822350.0
2014-11-19,96.5,97.1,96.35,96.95,2292945.0,0.0,1.0,45.09357871365242,45.373953296327976,45.02348506798353,45.30385965065909,4585890.0
2014-11-18,95.99,96.85,95.76,96.47,2401742.0,0.0,1.0,44.85526031837819,45.257130553546496,44.74778339501923,45.07955998451864,4803484.0
2014-11-17,95.37,96.19,95.04,96.06,2965367.0,0.0,1.0,44.56553991628012,44.94871851260338,44.41133389580856,44.887970686357015,5930734.0
2014-11-14,95.79,95.88,95.01,95.5,3202977.0,0.0,1.0,44.761802124153014,44.80385831155434,44.39731516667479,44.626287742526486,6405954.0
2014-11-13,96.18,96.55,95.56,96.12,2708673.0,0.0,1.0,44.944045602892125,45.116943262208714,44.65432520079405,44.91600814462457,5417346.0
2014-11-12,94.45,95.92,94.23,95.81,2509002.0,0.0,1.0,44.135632222844265,44.822549950399384,44.03282820919656,44.77114794357553,5018004.0
2014-11-11,95.2,95.3,94.58,94.88,2281574.0,0.0,1.0,44.48610045118871,44.5328295483013,44.19638004909063,44.33656734042841,4563148.0
2014-11-10,94.04,95.07,94.04,94.96,2949062.0,0.0,1.0,43.944042924682634,44.425352624942335,43.944042924682634,44.373950618118485,5898124.0
2014-11-07,94.75,94.75,93.535,93.78,2454896.0,0.0,1.0,44.27581951418204,44.27581951418204,43.70806098426403,43.82254727218989,4909792.0
2014-11-06,94.85,95.09,94.54,94.6,2740860.0,0.0,1.0,44.32254861129463,44.434698444364855,44.177688410245594,44.20572586851315,5481720.0
2014-11-05,94.84,94.84,93.71,94.68,3256857.0,0.0,1.0,44.317875701583375,44.317875701583375,43.789836904211064,44.24310914620323,6513714.0
2014-11-04,93.06,94.02,92.6161,93.95,2220691.0,0.0,1.0,43.486097772979214,43.934697105260106,43.27866731089642,43.9019867372813,4441382.0
2014-11-03,93.35,93.48,92.87,93.45,2431652.0,0.0,1.0,43.621612154605735,43.682359980852105,43.39731248846529,43.66834125171833,4863304.0
2014-10-31,94.13,94.14,92.67,92.97,3231800.0,0.0,1.0,43.98609911208396,43.99077202179522,43.303854294240104,43.44404158557788,6463600.0
2014-10-30,91.77,93.0,91.55,93.0,2292265.0,0.0,1.0,42.88329242022676,43.45806031471166,42.78048840657906,43.45806031471166,4584530.0
2014-10-29,92.16,92.54,91.4201,91.95,2499865.0,0.0,1.0,43.06553589896588,43.243106467993734,42.719787309429805,42.96740479502943,4999730.0
2014-10-28,91.53,92.45,91.31,92.45,3179216.0,0.0,1.0,42.77114258715654,43.2010502805924,42.668338573508834,43.2010502805924,6358432.0
2014-10-27,90.91,91.78,90.43,91.64,2909081.0,0.0,1.0,42.48142218505846,42.88796532993802,42.25712251891802,42.82254459398039,5818162.0
2014-10-24,89.95,90.99,89.911,90.9,2465499.0,0.0,1.0,42.03282285277757,42.51880546274853,42.01459850490366,42.4767492753472,4930998.0
2014-10-23,90.13,91.32,89.95,90.37,3095926.0,0.0,1.0,42.116935227580235,42.673011483220094,42.03282285277757,42.22908506065046,6191852.0
2014-10-22,90.65,91.53,89.81,89.86,3544351.0,0.0,1.0,42.35992653256572,42.77114258715654,41.96740211681994,41.990766665376235,7088702.0
2014-10-21,89.3,90.7,89.02,90.64,3234569.0,0.0,1.0,41.72908372154571,42.38329108112202,41.59824224963045,42.35525362285446,6469138.0
2014-10-20,86.8,88.925,86.77,88.9,3371713.0,0.0,1.0,40.56085629373088,41.553849607373486,40.546837564597105,41.54216733309534,6743426.0
2014-10-17,87.78,88.35,86.93,87.18,5703582.0,0.0,1.0,41.0188014454343,41.285157298976074,40.621604119977256,40.738426862758736,11407164.0
2014-10-16,84.19,87.25,83.85,87.04,6821962.0,0.0,1.0,39.341226859092195,40.77113723073755,39.18234792890938,40.673006126801106,13643924.0
2014-10-15,85.12,87.1,84.1,85.18,8786022.0,0.0,1.0,39.77580746223932,40.70104358506866,39.29917067169087,39.803844920506876,17572044.0
2014-10-14,85.78,85.91,84.84,85.09,4927161.0,0.0,1.0,40.08421950318243,40.1449673294288,39.64496599032406,39.76178873310554,9854322.0
2014-10-13,86.96,87.12,85.24,85.39,4005213.0,0.0,1.0,40.63562284911103,40.71038940449118,39.831882378774424,39.90197602444332,8010426.0
2014-10-10,87.44,88.2,87.01,87.19,4524141.0,0.0,1.0,40.859922515251476,41.21506365330719,40.65898739766733,40.743099772469996,9048282.0
2014-10-09,88.45,88.99,87.1,87.23,3731136.0,0.0,1.0,41.33188639608867,41.58422352049667,40.70104358506866,40.76179141131504,7462272.0
2014-10-08,88.11,89.16,87.53,88.83,3740644.0,0.0,1.0,41.173007465905854,41.66366298558808,40.90197870265281,41.50945696511652,7481288.0
2014-10-07,88.6,89.19,88.03,88.07,2743377.0,0.0,1.0,41.401980041757554,41.67768171472186,41.13562418821578,41.15431582706081,5486754.0
2014-10-06,90.29,90.5,88.56,89.22,3515607.0,0.0,1.0,42.191701782960386,42.28983288689683,41.38328840291252,41.69170044385564,7031214.0
